transaction_id,customer_id,date,merchant,category,transaction_type,amount,payment_method,status
TXN-200001,CUST-1051,2026-03-24,Udemy,Education,DEBIT,672.25,UPI,SUCCESS
TXN-200002,CUST-1028,2026-01-15,Apollo Pharmacy,Healthcare,DEBIT,778.98,Net Banking,SUCCESS
TXN-200003,CUST-1008,2026-01-24,Rapido,Travel,DEBIT,1078.04,Debit Card,SUCCESS
TXN-200004,CUST-1074,2026-05-30,Training Institute,Education,DEBIT,491.76,Debit Card,SUCCESS
TXN-200005,CUST-1054,2026-08-08,Zomato,Food & Dining,DEBIT,4371.42,Credit Card,SUCCESS
TXN-200006,CUST-1075,2026-06-24,Starbucks,Food & Dining,DEBIT,5147.42,Credit Card,SUCCESS
TXN-200007,CUST-1008,2026-07-02,Starbucks,Food & Dining,DEBIT,1727.07,Net Banking,SUCCESS
TXN-200008,CUST-1059,2026-04-30,IRCTC,Travel,DEBIT,2468.16,Debit Card,SUCCESS
TXN-200009,CUST-1039,2026-03-04,Starbucks,Food & Dining,DEBIT,4011.42,Credit Card,SUCCESS
TXN-200010,CUST-1010,2026-03-15,Uber,Travel,DEBIT,4144.27,Debit Card,SUCCESS
TXN-200011,CUST-1054,2026-02-08,Udemy,Education,DEBIT,7699.95,UPI,SUCCESS
TXN-200012,CUST-1105,2026-05-27,BookMyShow,Entertainment,DEBIT,2786.97,Credit Card,SUCCESS
TXN-200013,CUST-1009,2026-05-29,Netflix,Entertainment,DEBIT,7562.98,Net Banking,SUCCESS
TXN-200014,CUST-1090,2026-01-17,Domino's,Food & Dining,DEBIT,5212.32,Net Banking,SUCCESS
TXN-200015,CUST-1045,2026-04-09,Apollo Pharmacy,Healthcare,DEBIT,7531.12,Credit Card,SUCCESS
TXN-200016,CUST-1028,2026-01-30,IRCTC,Travel,DEBIT,1121.79,Debit Card,SUCCESS
TXN-200017,CUST-1022,2026-08-12,MakeMyTrip,Travel,DEBIT,3272.99,Credit Card,SUCCESS
TXN-200018,CUST-1071,2026-07-29,Flipkart,Shopping,DEBIT,5680.53,Credit Card,SUCCESS
TXN-200019,CUST-1020,2026-04-08,Udemy,Education,DEBIT,1492.12,Debit Card,SUCCESS
TXN-200020,CUST-1076,2026-01-04,Myntra,Shopping,DEBIT,2175.7,UPI,SUCCESS
TXN-200021,CUST-1073,2026-05-17,Flipkart,Shopping,DEBIT,7629.47,UPI,SUCCESS
